name,cases,date,day,diff
Luxembourg,140,2020-03-17,0,1.8181818181818181
Luxembourg,203,2020-03-18,1,1.45
Luxembourg,335,2020-03-19,2,1.6502463054187193
Luxembourg,484,2020-03-20,3,1.4447761194029851
Malaysia,19,2020-02-13,-9,NA
Malaysia,22,2020-02-15,-8,1.1578947368421053
Malaysia,25,2020-02-28,-7,1.1363636363636365
Malaysia,29,2020-03-01,-6,1.16
Malaysia,50,2020-03-04,-5,1.7241379310344827
Malaysia,55,2020-03-05,-4,1.1
Malaysia,83,2020-03-06,-3,1.509090909090909
Malaysia,93,2020-03-07,-2,1.1204819277108433
Malaysia,99,2020-03-08,-1,1.064516129032258
Malaysia,117,2020-03-09,0,1.1818181818181819
Malaysia,129,2020-03-10,1,1.1025641025641026
Malaysia,149,2020-03-11,2,1.1550387596899225
Malaysia,158,2020-03-13,3,1.0604026845637584
Malaysia,238,2020-03-14,4,1.5063291139240507
Malaysia,553,2020-03-16,5,2.323529411764706
